Name,Year,Score,Genre,Genre Count,Language,Budget,Revenue,Profit,Thriller,Animation,Adventure,Music,Comedy,History,Drama,Romance,Documentary,Mystery,Family,Fantasy,Action,Science Fiction,War,Horror,TV Movie,Western,Crime
The Passion of the Christ,2004,74.0,Drama,1,English,25000000.0,622313635.0,597313635.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
John Wick: Chapter 2,2017,73.0,"Action,Thriller,Crime",3,English,40000000.0,171539887.0,131539887.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
John Wick: Chapter 3 - Parabellum,2019,74.0,"Action,Thriller,Crime",3,English,55000000.0,326709727.0,271709727.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
A Bronx Tale,1994,78.0,"Drama,Crime",2,English,10000000.0,17287898.0,7287898.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Avatar,2009,76.0,"Action,Adventure,Fantasy,Science Fiction",4,English,237000000.0,2923706026.0,2686706026.0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
John Wick,2014,74.0,"Action,Thriller",2,English,30000000.0,75958800.0,45958800.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Super Mario Bros.,1993,43.0,"Action,Adventure,Comedy,Family,Science Fiction",5,English,42000000.0,20844907.0,-21155093.0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Shazam!,2019,70.0,"Action,Comedy,Fantasy",3,English,85000000.0,363563907.0,278563907.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Avengers: Infinity War,2018,83.0,"Adventure,Action,Science Fiction",3,English,300000000.0,2048359754.0,1748359754.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Creed II,2018,70.0,Drama,1,English,50000000.0,213591522.0,163591522.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Creed,2015,74.0,Drama,1,English,37000000.0,173567581.0,136567581.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hacksaw Ridge,2016,82.0,"Drama,History,War",3,English,40000000.0,169023926.0,129023926.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,71.0,"Adventure,Family,Fantasy",3,English,180000000.0,745013115.0,565013115.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Shrek,2001,77.0,"Animation,Comedy,Fantasy,Adventure,Family",5,English,50000000.0,491812794.0,441812794.0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Murder Mystery,2019,63.0,"Comedy,Mystery",2,English,24000000.0,205809600.8,181809600.8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Harry Potter and the Chamber of Secrets,2002,77.0,"Adventure,Fantasy",2,English,100000000.0,874954530.0,774954530.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Harry Potter and the Philosopher's Stone,2001,79.0,"Adventure,Fantasy",2,English,125000000.0,976475550.0,851475550.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cars 3,2017,69.0,"Animation,Adventure,Comedy,Family",4,English,175000000.0,383541369.0,208541369.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Interstellar,2014,84.0,"Adventure,Drama,Science Fiction",3,English,165000000.0,648082655.0,483082655.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Coraline,2009,78.0,"Animation,Family,Fantasy",3,English,60000000.0,126037057.0,66037057.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Harry Potter and the Goblet of Fire,2005,78.0,"Adventure,Fantasy,Family",3,English,150000000.0,886742787.0,736742787.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
