Name,Year,Score,Genre,Genre Count,Language,Budget,Revenue,Profit,Budget_2024,Revenue_2024,Profit_2024,History,Crime,Fantasy,War,Science Fiction,Action,Drama,Animation,Western,Romance,Documentary,Adventure,Mystery,Thriller,TV Movie,Family,Music,Horror,Comedy
The Passion of the Christ,2004,74.0,Drama,1,English,25000000.0,622313635.0,597313635.0,"37,797,114.88","940,866,398.03","903,069,283.15",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
John Wick: Chapter 2,2017,73.0,"Action,Thriller,Crime",3,English,40000000.0,171539887.0,131539887.0,"46,604,928.20","199,865,102.92","153,260,174.72",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
John Wick: Chapter 3 - Parabellum,2019,74.0,"Action,Thriller,Crime",3,English,55000000.0,326709727.0,271709727.0,"61,440,621.61","364,968,158.44","303,527,536.83",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
A Bronx Tale,1994,78.0,"Drama,Crime",2,English,10000000.0,17287898.0,7287898.0,"19,270,917.68","33,315,365.92","14,044,448.24",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avatar,2009,76.0,"Action,Adventure,Fantasy,Science Fiction",4,English,237000000.0,2923706026.0,2686706026.0,"315,498,095.90","3,892,083,055.58","3,576,584,959.68",0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
John Wick,2014,74.0,"Action,Thriller",2,English,30000000.0,75958800.0,45958800.0,"36,191,580.49","91,635,634.15","55,444,053.65",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Super Mario Bros.,1993,43.0,"Action,Adventure,Comedy,Family,Science Fiction",5,English,42000000.0,20844907.0,-21155093.0,"83,010,311.42","41,198,624.32","-41,811,687.10",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
Shazam!,2019,70.0,"Action,Comedy,Fantasy",3,English,85000000.0,363563907.0,278563907.0,"94,953,687.95","406,138,044.41","311,184,356.46",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Avengers: Infinity War,2018,83.0,"Adventure,Action,Science Fiction",3,English,300000000.0,2048359754.0,1748359754.0,"341,203,152.44","2,329,689,351.33","1,988,486,198.89",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Creed II,2018,70.0,Drama,1,English,50000000.0,213591522.0,163591522.0,"56,867,192.07","242,927,002.14","186,059,810.06",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Creed,2015,74.0,Drama,1,English,37000000.0,173567581.0,136567581.0,"44,583,363.22","209,141,256.94","164,557,893.72",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hacksaw Ridge,2016,82.0,"Drama,History,War",3,English,40000000.0,169023926.0,129023926.0,"47,597,778.40","201,129,084.34","153,531,305.95",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,71.0,"Adventure,Family,Fantasy",3,English,180000000.0,745013115.0,565013115.0,"263,221,198.16","1,089,462,470.96","826,241,272.80",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Shrek,2001,77.0,"Animation,Comedy,Fantasy,Adventure,Family",5,English,50000000.0,491812794.0,441812794.0,"80,630,999.44","793,107,142.31","712,476,142.87",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Murder Mystery,2019,63.0,"Comedy,Mystery",2,English,24000000.0,205809600.8,181809600.8,"26,810,453.07","229,910,360.13","203,099,907.06",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Harry Potter and the Chamber of Secrets,2002,77.0,"Adventure,Fantasy",2,English,100000000.0,874954530.0,774954530.0,"158,752,084.49","1,389,008,554.73","1,230,256,470.24",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Harry Potter and the Philosopher's Stone,2001,79.0,"Adventure,Fantasy",2,English,125000000.0,976475550.0,851475550.0,"201,577,498.59","1,574,683,990.41","1,373,106,491.83",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cars 3,2017,69.0,"Animation,Adventure,Comedy,Family",4,English,175000000.0,383541369.0,208541369.0,"203,896,560.87","446,872,949.08","242,976,388.22",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Interstellar,2014,84.0,"Adventure,Drama,Science Fiction",3,English,165000000.0,648082655.0,483082655.0,"199,053,692.72","781,837,852.52","582,784,159.80",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Coraline,2009,78.0,"Animation,Family,Fantasy",3,English,60000000.0,126037057.0,66037057.0,"79,872,935.67","167,782,495.76","87,909,560.09",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Harry Potter and the Goblet of Fire,2005,78.0,"Adventure,Fantasy,Family",3,English,150000000.0,886742787.0,736742787.0,"219,350,998.46","1,296,719,438.06","1,077,368,439.60",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Harry Potter and the Half-Blood Prince,2009,77.0,"Adventure,Fantasy",2,English,250000000.0,929411069.0,679411069.0,"332,803,898.63","1,237,246,508.77","904,442,610.14",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Exodus: Gods and Kings,2014,58.0,"Adventure,Drama,Action",3,English,140000000.0,268314513.0,128314513.0,"168,894,042.31","323,690,876.50","154,796,834.20",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
The Wolf of Wall Street,2014,80.0,"Crime,Drama,Comedy",3,English,100000000.0,389816136.0,289816136.0,"120,638,601.65","470,268,735.47","349,630,133.82",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Harry Potter and the Prisoner of Azkaban,2004,80.0,"Adventure,Fantasy",2,English,130000000.0,789592708.0,659592708.0,"196,544,997.35","1,193,773,051.57","997,228,054.22",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Avengers: Endgame,2019,83.0,"Adventure,Science Fiction,Action",3,English,400000000.0,2794731755.0,2394731755.0,"446,840,884.47","3,122,001,023.13","2,675,160,138.66",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
