Name,Year,Score,Genre,Language,Budget,Revenue,Profit,Music,Thriller,Comedy,Crime,TV Movie,Drama,Family,Western,Adventure,War,Fantasy,Horror,Romance,Animation,Mystery,Documentary,Action,Science Fiction,History,Genre Sum
The Forbidden Legend: Sex & Chopsticks 2,2009,60.0,"Comedy,Drama,Romance",Cantonese,89600000.0,318375960.2,228775960.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,2019,80.0,"Action,Animation,Fantasy",Japanese,129000000.0,645532173.4,516532173.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
The Ten Commandments: The Movie,2016,72.0,Drama,Portuguese,39307171.0,37070177.0,-2236994.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3-D Sex and Zen: Extreme Ecstasy,2011,48.0,"Drama,Adventure,Romance,Action,History",Cantonese,3500000.0,10308238.0,6808238.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0
The Last: Naruto the Movie,2014,78.0,"Action,Romance,Animation",Japanese,903852.0,19840000.0,18936148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Dragon Ball Z: Resurrection 'F',2015,68.0,"Action,Animation,Science Fiction",Japanese,5000000.0,61768190.0,56768190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
Boruto: Naruto the Movie,2015,76.0,"Animation,Action,Comedy",Japanese,24413000.0,39500000.0,15087000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Your Name.,2016,85.0,"Romance,Animation,Drama",Japanese,2937023.8,357986087.0,355049063.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Naruto Shippuden the Movie,2007,72.0,"Animation,Action,Fantasy",Japanese,33111535.2,10000000.0,-23111535.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Howl's Moving Castle,2005,84.0,"Fantasy,Animation,Adventure",Japanese,24000000.0,236049757.0,212049757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Beauty Salon: Special Service 2,2018,70.0,Romance,Korean,105740523.8,345465556.8,239725033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dragon Ball Z: Broly – The Legendary Super Saiyan,1993,73.0,"Animation,Science Fiction,Action",Japanese,25100000.0,21658982.0,-3441018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
Beauty Salon: Special Service,2016,62.0,"Romance,Drama",Korean,119700000.0,333485619.2,213785619.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
