Name,Year,Score,Genre,Language,Budget,Revenue,Profit,Budget_2024,Revenue_2024,Profit_2024
The Passion of the Christ,2004,74.0,Drama, English,25000000.0,622313635.0,597313635.0,37797114.875595555,940866398.0297778,903069283.1541822
John Wick: Chapter 2,2017,73.0,"Action,Thriller,Crime", English,40000000.0,171539887.0,131539887.0,46604928.19843342,199865102.92005956,153260174.72162613
John Wick: Chapter 3 - Parabellum,2019,74.0,"Action,Thriller,Crime", English,55000000.0,326709727.0,271709727.0,61440621.61411579,364968158.4410558,303527536.82694
A Bronx Tale,1994,78.0,"Drama,Crime", English,10000000.0,17287898.0,7287898.0,19270917.678812418,33315365.919770584,14044448.240958167
Avatar,2009,76.0,"Action,Adventure,Fantasy,Science Fiction", English,237000000.0,2923706026.0,2686706026.0,315498095.89954185,3892083055.5823474,3576584959.6828055
John Wick,2014,74.0,"Action,Thriller", English,30000000.0,75958800.0,45958800.0,36191580.49472831,91635634.14943229,55444053.65470398
Super Mario Bros.,1993,43.0,"Action,Adventure,Comedy,Family,Science Fiction", English,42000000.0,20844907.0,-21155093.0,83010311.41868514,41198624.322941184,-41811687.09574395
Shazam!,2019,70.0,"Action,Comedy,Fantasy", English,85000000.0,363563907.0,278563907.0,94953687.94908804,406138044.40975606,311184356.460668
Avengers: Infinity War,2018,83.0,"Adventure,Action,Science Fiction", English,300000000.0,2048359754.0,1748359754.0,341203152.4409913,2329689351.3268447,1988486198.8858535
Creed II,2018,70.0,Drama, English,50000000.0,213591522.0,163591522.0,56867192.073498555,242927002.13689783,186059810.06339929
Creed,2015,74.0,Drama, English,37000000.0,173567581.0,136567581.0,44583363.21867208,209141256.93808883,164557893.71941677
Hacksaw Ridge,2016,82.0,"Drama,History,War", English,40000000.0,169023926.0,129023926.0,47597778.39813005,201129084.34324834,153531305.94511828
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,71.0,"Adventure,Family,Fantasy", English,180000000.0,745013115.0,565013115.0,263221198.15668204,1089462470.9596775,826241272.8029954
Shrek,2001,77.0,"Animation,Comedy,Fantasy,Adventure,Family", English,50000000.0,491812794.0,441812794.0,80630999.43534727,793107142.3062112,712476142.870864
Murder Mystery,2019,63.0,"Comedy,Mystery", English,24000000.0,205809600.8,181809600.8,26810453.067977797,229910360.13281858,203099907.0648408
Harry Potter and the Chamber of Secrets,2002,77.0,"Adventure,Fantasy", English,100000000.0,874954530.0,774954530.0,158752084.49138412,1389008554.7267928,1230256470.2354085
Harry Potter and the Philosopher's Stone,2001,79.0,"Adventure,Fantasy", English,125000000.0,976475550.0,851475550.0,201577498.58836818,1574683990.4136083,1373106491.8252401
