Name,Year,Score,Genre,Language,Budget,Revenue,Profit
The Forbidden Legend: Sex & Chopsticks 2,2009-03-04,60.0,"Comedy,Drama,Romance", Cantonese,89600000.0,318375960.2,228775960.2
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,2019-03-29,80.0,"Action,Animation,Fantasy", Japanese,129000000.0,645532173.4,516532173.4
The Ten Commandments: The Movie,2016-01-28,72.0,Drama, Portuguese,39307171.0,37070177.0,-2236994.0
3-D Sex and Zen: Extreme Ecstasy,2011-04-14,48.0,"Drama,Adventure,Romance,Action,History", Cantonese,3500000.0,10308238.0,6808238.0
The Last: Naruto the Movie,2014-12-06,78.0,"Action,Romance,Animation", Japanese,903852.0,19840000.0,18936148.0
Housewife Sex Slaves: Hatano Yui,2015-01-09,0.0,, Japanese,167540000.0,175269998.8,7729998.800000012
Dragon Ball Z: Resurrection 'F',2015-04-18,68.0,"Action,Animation,Science Fiction", Japanese,5000000.0,61768190.0,56768190.0
Boruto: Naruto the Movie,2015-08-07,76.0,"Animation,Action,Comedy", Japanese,24413000.0,39500000.0,15087000.0
Your Name.,2016-11-24,85.0,"Romance,Animation,Drama", Japanese,2937023.8,357986087.0,355049063.2
Naruto Shippuden the Movie,2007-08-04,72.0,"Animation,Action,Fantasy", Japanese,33111535.2,10000000.0,-23111535.2
Howl's Moving Castle,2005-06-09,84.0,"Fantasy,Animation,Adventure", Japanese,24000000.0,236049757.0,212049757.0
Beauty Salon: Special Service 2,2018-02-13,70.0,Romance, Korean,105740523.8,345465556.8,239725033.0
Dragon Ball Z: Broly – The Legendary Super Saiyan,1993-03-06,73.0,"Animation,Science Fiction,Action", Japanese,25100000.0,21658982.0,-3441018.0
Beauty Salon: Special Service,2016-12-29,62.0,"Romance,Drama", Korean,119700000.0,333485619.2,213785619.2
Corpus Christi,2019-09-18,77.0,Drama, Polish,1300000.0,10951283.0,9651283.0
Spirited Away,2002-12-12,85.0,"Animation,Family,Fantasy", Japanese,19000000.0,274925095.0,255925095.0
Dragon Ball Z: Wrath of the Dragon,1995-07-15,72.0,"Animation,Action,Science Fiction", Japanese,30314000.0,24000000.0,-6314000.0
Three Steps Above Heaven,2010-12-03,78.0,"Romance,Drama"," Spanish, Castilian",99600000.0,555598357.2,455998357.20000005
My Hero Academia: Two Heroes,2018-09-14,79.0,"Animation,Action,Adventure,Fantasy", Japanese,12000000.0,31478826.0,19478826.0
Erotic Ghost Story,1990-05-19,58.0,"Fantasy,Drama,Horror", Cantonese,95000000.0,292616817.4,197616817.39999998
Dragon Ball Z: Battle of Gods,2013-09-19,68.0,"Animation,Action,Science Fiction", Japanese,20950000.0,50461371.0,29511371.0
Train to Busan,2016-07-29,78.0,"Horror,Thriller,Adventure,Action", Korean,8500000.0,87547518.0,79047518.0
